Registration,Name,Breed,Variety,Color,Sex,Birth_Date,Sire,Dam,AppNum,CHIC,Test_Date,Age(mos),Registry,Results,OFA_#,Registration_Results_Num,Sire_Results_Num,Sire_Sire,Sire_Dam,Dam_Results_Num,Dam_Sire,Dam_Dam,Sire_Sire_Results_Num,Sire_Sire_Sire,Sire_Sire_Dam,Sire_Dam_Results_Num,Sire_Dam_Sire,Sire_Dam_Dam,Dam_Sire_Results_Num,Dam_Sire_Sire,Dam_Sire_Dam,Dam_Dam_Results_Num,Dam_Dam_Sire,Dam_Dam_Dam,Sire_Sire_Sire_Results_Num,Sire_Sire_Dam_Results_Num,Sire_Dam_Sire_Results_Num,Sire_Dam_Dam_Results_Num,Dam_Sire_Sire_Results_Num,Dam_Sire_Dam_Results_Num,Dam_Dam_Sire_Results_Num,Dam_Dam_Dam_Results_Num,Registration_Parents_Results_Num,Sire_Parents_Results_Num,Dam_Parents_Results_Num,Sire_Sire_Parents_Results_Num,Sire_Dam_Parents_Results_Num,Dam_Sire_Parents_Results_Num,Dam_Dam_Parents_Results_Num
DN46592201,LAZE J'S VIXEN IN FADED BLUE GENES,BOUVIER DES FLANDRES,,FAWN,F,Apr 27 2016 ,DN33528601,DN31958701,2060948,,May 21 2019 ,36,HIPS,GOOD,BF-7574G36F-PI,1.0,1.0,DN22890203,DN21530701,1.0,DN18268801,DN22890201,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,1.0,DN01673602,DN02594601,1.0,DL84179507,DN07251201,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5,1.0,1.5,3.0,1.5,1.5,3.0
DN30677402,LIMERICK'S FLIGHT OF FANCY,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Apr 21 2011 ,DN21392304,DN07663901,1579198,110341.0,May  6 2013 ,24,HIPS,FAIR,BF-6845F24F-VPI,2.0,1.0,DN10958707,DN10947703,1.0,DL88153701,DL79000404,1.0,DN04619001,DL78928306,1.0,DL90091102,DL84303901,1.0,D622975,DL73027001,1.0,DL40883506,DL54464801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
DN40408104,LINA PAWING DU MATIN,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Aug 21 2014 ,DN34773705,DN24172502,1731073,115794.0,Aug 22 2016 ,24,HIPS,GOOD,BF-7283G24F-VPI,1.0,1.0,DN21392304,DN18243404,2.0,DN19334801,DN07979802,1.0,DN10958707,DN10947703,0.0,DN03147401,DN07979806,1.0,DL88153701,DN03138501,1.0,DL74175102,DL69174404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.5,1.5,1.5,1.5,2.0
DN24371906,MAPLERIDGE ALOTTA COLADA,BOUVIER DES FLANDRES,,BRINDLE,F,Feb 20 2009 ,DN03466306,DN02674602,1464183,83306.0,Mar 18 2011 ,24,HIPS,GOOD,BF-6547G24F-VPI,1.0,1.0,DL84303903,DL74519807,2.0,DL36882405,DL82344808,1.0,DL47482101,DL70623607,2.0,DL65544601,DL55161106,1.0,D912300,D705059,1.0,DL61777501,DL55161106,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.5,1.5,1.5,2.0,1.5
DN24371901,MAPLERIDGE HEAVEN BESIDE ME,BOUVIER DES FLANDRES,,BRINDLE,M,Feb 20 2009 ,DN03466306,DN02674602,1464182,73661.0,May 27 2011 ,27,HIPS,GOOD,BF-6571G27M-VPI,1.0,1.0,DL84303903,DL74519807,2.0,DL36882405,DL82344808,1.0,DL47482101,DL70623607,2.0,DL65544601,DL55161106,1.0,D912300,D705059,1.0,DL61777501,DL55161106,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.5,1.5,1.5,2.0,1.5
DN24371911,MAPLERIDGE HEAVEN FORBID,BOUVIER DES FLANDRES,,BRINDLE,F,Feb 20 2009 ,DN03466306,DN02674602,1463569,89460.0,Jun 18 2012 ,39,HIPS,EXCELLENT,BF-6718E39F-VPI,0.0,1.0,DL84303903,DL74519807,2.0,DL36882405,DL82344808,1.0,DL47482101,DL70623607,2.0,DL65544601,DL55161106,1.0,D912300,D705059,1.0,DL61777501,DL55161106,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.5,1.5,1.5,2.0,1.5
DN24245003,MAPLERIDGE HEAVEN ON EARTH,BOUVIER DES FLANDRES,,FAWN,F,Aug  3 2008 ,DN03466306,DN02674602,1463568,92245.0,Aug 15 2013 ,60,HIPS,GOOD,BF-6877G60F-VPI,1.0,1.0,DL84303903,DL74519807,2.0,DL36882405,DL82344808,1.0,DL47482101,DL70623607,2.0,DL65544601,DL55161106,1.0,D912300,D705059,1.0,DL61777501,DL55161106,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.5,1.5,1.5,2.0,1.5
DN24371904,MAPLERIDGE SHADES OF HEAVEN,BOUVIER DES FLANDRES,,BRINDLE,F,Feb 20 2009 ,DN03466306,DN02674602,1481806,76122.0,Sep 14 2011 ,30,HIPS,GOOD,BF-6617G30F-VPI,1.0,1.0,DL84303903,DL74519807,2.0,DL36882405,DL82344808,1.0,DL47482101,DL70623607,2.0,DL65544601,DL55161106,1.0,D912300,D705059,1.0,DL61777501,DL55161106,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.5,1.5,1.5,2.0,1.5
DN15958702,MARGAUX'S AS GOOD AS IT GETS,BOUVIER DES FLANDRES,,BRINDLE,F,Oct  5 2006 ,DL74175102,DN01260301,1359926,57753.0,Apr  6 2009 ,30,HIPS,EXCELLENT,BF-6284E30F-VPI,0.0,1.0,DL40883506,DL54464801,1.0,DL74618103,DL73936801,1.0,D938582,D504798,1.0,D622975,DL36162702,2.0,DL61565302,DL54958503,1.0,DL62346403,DL54220901,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,1.5,2.5,1.5,1.5,2.0,3.0
DN15958701,MARGAUX'S ASTI SPUMANTE,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Oct  5 2006 ,DL74175102,DN01260301,1359927,57568.0,Apr  6 2009 ,30,HIPS,GOOD,BF-6279G30F-VPI,1.0,1.0,DL40883506,DL54464801,1.0,DL74618103,DL73936801,1.0,D938582,D504798,1.0,D622975,DL36162702,2.0,DL61565302,DL54958503,1.0,DL62346403,DL54220901,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,1.5,2.5,1.5,1.5,2.0,3.0
