Registration,Name,Breed,Variety,Color,Sex,Birth_Date,Sire,Dam,AppNum,CHIC,Test_Date,Age(mos),Registry,Results,OFA_#,Registration_Results_Num,Sire_Results_Num,Sire_Sire,Sire_Dam,Dam_Results_Num,Dam_Sire,Dam_Dam,Sire_Sire_Results_Num,Sire_Sire_Sire,Sire_Sire_Dam,Sire_Dam_Results_Num,Sire_Dam_Sire,Sire_Dam_Dam,Dam_Sire_Results_Num,Dam_Sire_Sire,Dam_Sire_Dam,Dam_Dam_Results_Num,Dam_Dam_Sire,Dam_Dam_Dam,Sire_Sire_Sire_Results_Num,Sire_Sire_Dam_Results_Num,Sire_Dam_Sire_Results_Num,Sire_Dam_Dam_Results_Num,Dam_Sire_Sire_Results_Num,Dam_Sire_Dam_Results_Num,Dam_Dam_Sire_Results_Num,Dam_Dam_Dam_Results_Num,Registration_Parents_Results_Num,Sire_Parents_Results_Num,Dam_Parents_Results_Num,Sire_Sire_Parents_Results_Num,Sire_Dam_Parents_Results_Num,Dam_Sire_Parents_Results_Num,Dam_Dam_Parents_Results_Num
DN64689302,HAPPENSTANCE ALWAYS,BORDER COLLIE,,BLUE MERLE,F,Oct 31 2020 ,DN38309001,DN57327901,2374664,,Jun 20 2022 ,19,HIPS,FAIR,,2.0,2.0,DN25464701,DN21945902,1.0,DN48170603,DN42073801,1.0,DL91419801,DN09301001,1.0,DN03761601,DN05090202,1.0,DN41674001,DN40255608,0.0,DN24154905,DN25296502,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.5,1.5,1.0,1.5,1.5,0.5,1.5
DN68507103,HAPPENSTANCE BLOW A FUSE,BORDER COLLIE,,BLACK,F,Jul 18 2021 ,DN60044401,DN50637502,2444320,,Sep 18 2023 ,26,HIPS,GOOD,BCO-16667G26F-P-VPI,1.0,0.0,DN47214101,DN42970001,2.0,DN43811801,DN31767003,0.0,DN34715902,DN24830301,1.0,DN20664902,DN38309101,2.0,DN38309001,DN22383401,1.0,DN24660001,DN04079402,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.5,1.5,1.5,2.5,1.5
DN68507101,HAPPENSTANCE BRIGHT IDEA,BORDER COLLIE,,BLACK,M,Jul 18 2021 ,DN60044401,DN50637502,2475302,,Jul 19 2023 ,24,HIPS,GOOD,BCO-16548G24M-P-VPI,1.0,0.0,DN47214101,DN42970001,2.0,DN43811801,DN31767003,0.0,DN34715902,DN24830301,1.0,DN20664902,DN38309101,2.0,DN38309001,DN22383401,1.0,DN24660001,DN04079402,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.5,1.5,1.5,2.5,1.5
DN64677801,HAPPENSTANCE CRITICAL PIECE,BORDER COLLIE,,BLACK,M,May 28 2020 ,DN54386101,DN53566802,2272219,,Jul  4 2021 ,13,HIPS,GOOD,,1.0,2.0,DN36515902,DN48170601,1.0,DN40784201,DN32314702,0.0,DN06700403,DN28526401,1.0,DN41674001,DN40255608,0.0,DN36505206,DN21945902,1.0,DN04254901,DN22882707,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.5,0.5,0.5,1.5,0.5,1.5,1.5
DN64960901,HAPPENSTANCE CRYSTAL CHANDELIER,BORDER COLLIE,,BLUE MERLE,F,Nov 15 2020 ,DN57328301,DN40581703,2425770,,Jan 18 2023 ,26,HIPS,EXCELLENT,BCO-16115E26F-P-NOPI,0.0,1.0,DN45100302,DN48170601,0.0,DN25464701,DN32314703,1.0,DN31707101,DN40255608,1.0,DN41674001,DN40255608,1.0,DL91419801,DN09301001,1.0,DN04254901,DN22882707,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,0.5,1.5,1.5
DN68507102,HAPPENSTANCE KAZUMI-BEAUTIFUL PEACE,BORDER COLLIE,,BLACK,M,Jul 18 2021 ,DN60044401,DN50637502,2383374,,May 22 2023 ,22,HIPS,GOOD,,1.0,0.0,DN47214101,DN42970001,2.0,DN43811801,DN31767003,0.0,DN34715902,DN24830301,1.0,DN20664902,DN38309101,2.0,DN38309001,DN22383401,1.0,DN24660001,DN04079402,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.5,1.5,1.5,2.5,1.5
DN73283903/D173572,HAPPENSTANCE SETTLE THE SCORE,BORDER COLLIE,,BLUE MERLE,M,Oct  3 2022 ,DN54386101,DN53069503,2517955,,Jan 20 2024 ,15,HIPS,GOOD,,1.0,2.0,DN36515902,DN48170601,1.0,DN45100302,DN44024001,0.0,DN06700403,DN28526401,1.0,DN41674001,DN40255608,1.0,DN31707101,DN40255608,1.0,DN34715902,DN31767003,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.5,0.5,1.5,1.5,0.5,1.5,1.5
DN60487203,HAPPENSTANCE STOP AT NOTHING,BORDER COLLIE,,BLACK,M,Oct 30 2019 ,DN44024002,DN40581703,2208258,,Jan 15 2021 ,14,HIPS,GOOD,,1.0,1.0,DN34715902,DN31767003,0.0,DN25464701,DN32314703,1.0,DN25538101,DN25239902,1.0,DN24660001,DN04079402,1.0,DL91419801,DN09301001,1.0,DN04254901,DN22882707,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,2.5,1.5,1.5,1.5
DN68508401,HAPPENSTANCE THIS KISS,BORDER COLLIE,,RED MERLE,F,Jul 29 2021 ,DN44024002,DN57328303,2425768,,Jan 18 2023 ,17,HIPS,FAIR,,2.0,1.0,DN34715902,DN31767003,2.0,DN45100302,DN48170601,1.0,DN25538101,DN25239902,1.0,DN24660001,DN04079402,1.0,DN31707101,DN40255608,1.0,DN41674001,DN40255608,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.5,1.5,2.5,1.5,1.5,0.5
DN64677901,HAPPENSTANCE UNWRITTEN RULE,BORDER COLLIE,,BLACK,F,Oct 23 2020 ,DN54386101,DN56083901,2392038,,Aug 12 2022 ,21,HIPS,MILD,,4.0,2.0,DN36515902,DN48170601,1.0,DN44024002,DN42970001,0.0,DN06700403,DN28526401,1.0,DN41674001,DN40255608,1.0,DN34715902,DN31767003,1.0,DN20664902,DN38309101,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.5,0.5,1.5,1.5,0.5,1.5,1.5
